ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,cpi_diff,cpi_diff_lower,cpi_diff_upper,crisis,crisis_lower,crisis_upper,election,election_lower,election_upper,event,event_lower,event_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,fed_fund,fed_fund_lower,fed_fund_upper,holidays,holidays_lower,holidays_upper,monetary_base_diff,monetary_base_diff_lower,monetary_base_diff_upper,monthly,monthly_lower,monthly_upper,saudi_production,saudi_production_lower,saudi_production_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1995/5/1,7.553808885,14.18934647,27.79992418,7.553808885,7.553808885,13.48639198,13.48639198,13.48639198,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.57827413,11.57827413,11.57827413,14.37225461,14.37225461,14.37225461,0,0,0,0.002204655,0.002204655,0.002204655,-0.290372044,-0.290372044,-0.290372044,-2.767041114,-2.767041114,-2.767041114,2.198489887,2.198489887,2.198489887,0,0,0,21.04020086
1995/5/2,7.567424964,13.58566513,28.14122978,7.567424964,7.567424964,13.10758559,13.10758559,13.10758559,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.22590041,11.22590041,11.22590041,14.01988089,14.01988089,14.01988089,0,0,0,0.002204655,0.002204655,0.002204655,-0.236017581,-0.236017581,-0.236017581,-2.767041114,-2.767041114,-2.767041114,2.11770276,2.11770276,2.11770276,0,0,0,20.67501056
1995/5/3,7.581041043,13.53959181,27.68310108,7.581041043,7.581041043,13.03781466,13.03781466,13.03781466,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.18674778,11.18674778,11.18674778,13.98072826,13.98072826,13.98072826,0,0,0,0.002204655,0.002204655,0.002204655,-0.16989885,-0.16989885,-0.16989885,-2.767041114,-2.767041114,-2.767041114,2.020965736,2.020965736,2.020965736,0,0,0,20.61885571
1995/5/4,7.594657122,13.84482345,27.38098835,7.594657122,7.594657122,13.02565393,13.02565393,13.02565393,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.22590041,11.22590041,11.22590041,14.01988089,14.01988089,14.01988089,0,0,0,0.002204655,0.002204655,0.002204655,-0.108249937,-0.108249937,-0.108249937,-2.767041114,-2.767041114,-2.767041114,1.908003449,1.908003449,1.908003449,0,0,0,20.62031105
1995/5/5,7.608273202,14.44893937,27.14876874,7.608273202,7.608273202,12.83338346,12.83338346,12.83338346,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.10844251,11.10844251,11.10844251,13.90242299,13.90242299,13.90242299,0,0,0,0.002204655,0.002204655,0.002204655,-0.054605112,-0.054605112,-0.054605112,-2.767041114,-2.767041114,-2.767041114,1.77954607,1.77954607,1.77954607,0,0,0,20.44165667
1995/5/8,7.649121439,13.59483865,27.28320711,7.649121439,7.649121439,12.65649356,12.65649356,12.65649356,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.34335832,11.34335832,11.34335832,14.1373388,14.1373388,14.1373388,0,0,0,0.002204655,0.002204655,0.002204655,-0.011542021,-0.011542021,-0.011542021,-2.767041114,-2.767041114,-2.767041114,1.324677261,1.324677261,1.324677261,0,0,0,20.305615
1995/5/9,7.662737518,13.29825162,26.732239,7.662737518,7.662737518,12.10580132,12.10580132,12.10580132,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,10.9909846,10.9909846,10.9909846,13.78496508,13.78496508,13.78496508,0,0,0,0.002204655,0.002204655,0.002204655,-0.047637324,-0.047637324,-0.047637324,-2.767041114,-2.767041114,-2.767041114,1.162454041,1.162454041,1.162454041,0,0,0,19.76853883
1995/5/10,7.676353597,12.7379083,26.55602152,7.676353597,7.676353597,12.24110412,12.24110412,12.24110412,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.30420568,11.30420568,11.30420568,14.09818617,14.09818617,14.09818617,0,0,0,0.002204655,0.002204655,0.002204655,-0.065885114,-0.065885114,-0.065885114,-2.767041114,-2.767041114,-2.767041114,1.002783554,1.002783554,1.002783554,0,0,0,19.91745772
1995/5/11,7.689969676,13.3878914,27.17071164,7.689969676,7.689969676,12.00854925,12.00854925,12.00854925,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.18674778,11.18674778,11.18674778,13.98072826,13.98072826,13.98072826,0,0,0,0.002204655,0.002204655,0.002204655,-0.028820847,-0.028820847,-0.028820847,-2.767041114,-2.767041114,-2.767041114,0.850622324,0.850622324,0.850622324,0,0,0,19.69851893
1995/5/12,7.703585755,12.71708067,26.79604428,7.703585755,7.703585755,11.9242701,11.9242701,11.9242701,-0.029144023,-0.029144023,-0.029144023,0,0,0,0,0,0,0,0,0,11.14759514,11.14759514,11.14759514,13.94157562,13.94157562,13.94157562,0,0,0,0.002204655,0.002204655,0.002204655,0.066123487,0.066123487,0.066123487,-2.767041114,-2.767041114,-2.767041114,0.710551467,0.710551467,0.710551467,0,0,0,19.62785585
