DATE,BOGMBASEW
1/8/1975,108920
1/15/1975,107891
1/22/1975,107988
1/29/1975,106358
2/5/1975,106061
2/12/1975,105693
2/19/1975,105663
2/26/1975,104951
3/5/1975,104932
3/12/1975,104989
3/19/1975,105865
3/26/1975,106235
4/2/1975,106438
4/9/1975,106196
4/16/1975,107106
4/23/1975,107373
4/30/1975,106697
5/7/1975,106617
5/14/1975,106443
5/21/1975,107578
5/28/1975,107045
6/4/1975,107627
6/11/1975,107298
6/18/1975,108771
6/25/1975,108829
7/2/1975,109581
7/9/1975,109318
7/16/1975,109780
7/23/1975,110055
7/30/1975,108955
8/6/1975,108626
8/13/1975,108663
8/20/1975,109857
8/27/1975,109115
9/3/1975,109159
9/10/1975,108838
9/17/1975,109382
9/24/1975,109242
10/1/1975,109399
10/8/1975,108630
10/15/1975,109782
10/22/1975,110485
10/29/1975,109733
11/5/1975,110056
11/12/1975,109724
11/19/1975,111760
11/26/1975,111959
12/3/1975,112128
12/10/1975,111958
12/17/1975,113130
12/24/1975,113579
12/31/1975,114259
1/7/1976,113805
1/14/1976,112209
1/21/1976,111901
1/28/1976,110414
2/4/1976,110456
2/11/1976,109751
2/18/1976,111417
2/25/1976,110550
3/3/1976,110582
3/10/1976,110162
3/17/1976,111433
3/24/1976,111828
3/31/1976,111886
4/7/1976,111669
4/14/1976,112644
4/21/1976,114434
4/28/1976,113341
5/5/1976,114090
5/12/1976,112798
5/19/1976,113946
5/26/1976,113409
6/2/1976,113807
6/9/1976,113572
6/16/1976,114823
6/23/1976,114412
6/30/1976,115009
7/7/1976,115458
7/14/1976,115386
7/21/1976,116440
7/28/1976,115020
8/4/1976,115606
8/11/1976,114912
8/18/1976,116270
8/25/1976,115642
9/1/1976,115220
9/8/1976,115135
9/15/1976,115687
9/22/1976,115877
9/29/1976,115595
10/6/1976,115913
10/13/1976,115886
10/20/1976,117697
10/27/1976,116409
11/3/1976,116936
11/10/1976,116844
11/17/1976,118953
11/24/1976,118941
12/1/1976,119387
12/8/1976,118782
12/15/1976,120115
12/22/1976,120910
12/29/1976,121421
1/5/1977,121227
1/12/1977,120088
1/19/1977,120157
1/26/1977,119088
2/2/1977,117705
2/9/1977,117378
2/16/1977,117898
2/23/1977,118340
3/2/1977,117637
3/9/1977,117653
3/16/1977,118560
3/23/1977,119462
3/30/1977,119419
4/6/1977,119352
4/13/1977,119895
4/20/1977,121989
4/27/1977,120950
5/4/1977,121140
5/11/1977,120560
5/18/1977,121507
5/25/1977,120613
6/1/1977,121171
6/8/1977,120851
6/15/1977,121498
6/22/1977,122291
6/29/1977,122355
7/6/1977,123974
7/13/1977,123551
7/20/1977,125208
7/27/1977,123488
8/3/1977,124308
8/10/1977,123755
8/17/1977,124644
8/24/1977,124271
8/31/1977,123994
9/7/1977,124017
9/14/1977,124426
9/21/1977,124839
9/28/1977,124166
10/5/1977,125308
10/12/1977,124601
10/19/1977,126903
10/26/1977,125910
11/2/1977,125956
11/9/1977,126208
11/16/1977,127835
11/23/1977,128559
11/30/1977,128296
12/7/1977,128122
12/14/1977,128903
12/21/1977,130541
12/28/1977,131057
1/4/1978,132336
1/11/1978,130807
1/18/1978,131242
1/25/1978,129091
2/1/1978,128205
2/8/1978,128280
2/15/1978,128741
2/22/1978,129482
3/1/1978,128174
3/8/1978,127989
3/15/1978,128432
3/22/1978,129936
3/29/1978,129875
4/5/1978,130312
4/12/1978,129887
4/19/1978,132380
4/26/1978,131384
5/3/1978,132048
5/10/1978,131775
5/17/1978,132668
5/24/1978,132163
5/31/1978,132501
6/7/1978,132313
6/14/1978,133433
6/21/1978,134347
6/28/1978,133619
7/5/1978,136098
7/12/1978,134639
7/19/1978,137693
7/26/1978,135123
8/2/1978,134853
8/9/1978,134295
8/16/1978,135490
8/23/1978,135757
8/30/1978,135304
9/6/1978,135832
9/13/1978,135741
9/20/1978,136672
9/27/1978,136246
10/4/1978,136901
10/11/1978,136822
10/18/1978,138521
10/25/1978,137858
11/1/1978,137454
11/8/1978,137663
11/15/1978,138596
11/22/1978,143392
11/29/1978,143365
12/6/1978,143458
12/13/1978,143048
12/20/1978,145090
12/27/1978,145458
1/3/1979,147608
1/10/1979,145038
1/17/1979,145457
1/24/1979,143250
1/31/1979,142160
2/7/1979,141405
2/14/1979,141212
2/21/1979,142733
2/28/1979,141073
3/7/1979,141989
3/14/1979,141562
3/21/1979,143287
3/28/1979,141980
4/4/1979,143118
4/11/1979,142747
4/18/1979,145653
4/25/1979,145054
5/2/1979,145129
5/9/1979,143978
5/16/1979,144700
5/23/1979,144532
5/30/1979,144522
6/6/1979,144925
6/13/1979,144903
6/20/1979,146707
6/27/1979,145979
7/4/1979,148004
7/11/1979,146961
7/18/1979,149440
7/25/1979,148364
8/1/1979,147810
8/8/1979,147530
8/15/1979,148524
8/22/1979,149297
8/29/1979,148799
9/5/1979,149374
9/12/1979,148881
9/19/1979,150141
9/26/1979,149513
10/3/1979,150234
10/10/1979,150234
10/17/1979,152296
10/24/1979,151737
10/31/1979,152419
11/7/1979,151735
11/14/1979,153045
11/21/1979,155241
11/28/1979,154878
12/5/1979,154989
12/12/1979,154883
12/19/1979,156812
12/26/1979,157844
1/2/1980,158907
1/9/1980,158396
1/16/1980,156502
1/23/1980,155022
1/30/1980,153618
2/6/1980,153263
2/13/1980,152560
2/20/1980,155857
2/27/1980,153814
3/5/1980,153892
3/12/1980,153620
3/19/1980,156080
3/26/1980,155416
4/2/1980,156141
4/9/1980,157210
4/16/1980,158098
4/23/1980,159240
4/30/1980,157373
5/7/1980,157215
5/14/1980,156991
5/21/1980,158912
5/28/1980,158076
6/4/1980,159004
6/11/1980,158109
6/18/1980,158753
6/25/1980,159100
7/2/1980,159984
7/9/1980,160064
7/16/1980,161260
7/23/1980,161607
7/30/1980,157177
8/6/1980,157419
8/13/1980,157117
8/20/1980,159827
8/27/1980,158500
9/3/1980,159348
9/10/1980,158678
9/17/1980,159488
9/24/1980,159750
10/1/1980,159713
10/8/1980,159357
10/15/1980,160473
10/22/1980,162544
10/29/1980,161224
11/5/1980,161884
11/12/1980,162708
11/19/1980,161846
11/26/1980,161652
12/3/1980,162151
12/10/1980,161599
12/17/1980,163422
12/24/1980,164171
12/31/1980,164836
1/7/1981,164274
1/14/1981,161767
1/21/1981,161163
1/28/1981,158360
2/4/1981,158179
2/11/1981,157806
2/18/1981,160237
2/25/1981,159255
3/4/1981,159228
3/11/1981,158045
3/18/1981,160243
3/25/1981,160337
4/1/1981,160902
4/8/1981,160277
4/15/1981,162272
4/22/1981,164164
4/29/1981,162883
5/6/1981,163054
5/13/1981,162311
5/20/1981,164148
5/27/1981,163349
6/3/1981,163057
6/10/1981,162852
6/17/1981,163864
6/24/1981,164712
7/1/1981,164784
7/8/1981,165283
7/15/1981,166076
7/22/1981,168003
7/29/1981,165256
8/5/1981,165072
8/12/1981,165296
8/19/1981,167573
8/26/1981,166622
9/2/1981,165560
9/9/1981,164169
9/16/1981,164933
9/23/1981,165442
9/30/1981,163952
10/7/1981,163468
10/14/1981,164586
10/21/1981,166974
10/28/1981,164928
11/4/1981,164814
11/11/1981,165486
11/18/1981,168004
11/25/1981,168453
12/2/1981,168809
12/9/1981,168419
12/16/1981,170255
12/23/1981,171881
12/30/1981,172413
1/6/1982,172713
1/13/1982,169995
1/20/1982,170907
1/27/1982,167452
2/3/1982,167346
2/10/1982,166222
2/17/1982,169000
2/24/1982,167573
3/3/1982,167027
3/10/1982,164438
3/17/1982,166715
3/24/1982,167029
3/31/1982,166346
4/7/1982,166409
4/14/1982,168140
4/21/1982,170982
4/28/1982,169136
5/5/1982,169206
5/12/1982,169135
5/19/1982,170885
5/26/1982,169994
6/2/1982,171050
6/9/1982,170691
6/16/1982,172257
6/23/1982,172153
6/30/1982,171797
7/7/1982,172924
7/14/1982,173001
7/21/1982,175374
7/28/1982,172519
8/4/1982,172691
8/11/1982,173134
8/18/1982,175291
8/25/1982,174457
9/1/1982,173715
9/8/1982,173127
9/15/1982,173432
9/22/1982,174373
9/29/1982,172566
10/6/1982,173289
10/13/1982,173851
10/20/1982,177024
10/27/1982,175258
11/3/1982,175255
11/10/1982,175678
11/17/1982,178123
11/24/1982,178475
12/1/1982,178728
12/8/1982,178339
12/15/1982,179804
12/22/1982,181958
12/29/1982,182538
1/5/1983,182517
1/12/1983,179643
1/19/1983,179673
1/26/1983,176803
2/2/1983,176091
2/9/1983,175555
2/16/1983,177314
2/23/1983,178118
3/2/1983,177627
3/9/1983,175950
3/16/1983,176789
3/23/1983,178520
3/30/1983,177761
4/6/1983,178515
4/13/1983,179296
4/20/1983,181773
4/27/1983,180040
5/4/1983,180762
5/11/1983,180544
5/18/1983,181704
5/25/1983,181571
6/1/1983,182197
6/8/1983,182632
6/15/1983,182999
6/22/1983,184045
6/29/1983,183479
7/6/1983,185310
7/13/1983,184692
7/20/1983,187199
7/27/1983,184262
8/3/1983,184677
8/10/1983,184829
8/17/1983,186238
8/24/1983,186031
8/31/1983,184980
9/7/1983,185104
9/14/1983,184835
9/21/1983,186108
9/28/1983,183761
10/5/1983,184709
10/12/1983,185498
10/19/1983,187812
