Date,Price,Open,High,Low,Vol.,
2-Jun-20,39.2,38.38,39.55,38.28,-,
1-Jun-20,38.32,37.56,38.68,37.18,212.78,
29-May-20,35.33,35.15,35.37,34.06,14.71,
28-May-20,35.29,33.92,35.95,33.62,70.99,
27-May-20,34.74,35.93,36.16,33.98,112.25,
26-May-20,36.17,35.66,36.68,35.26,129.98,
25-May-20,35.53,34.98,35.97,34.46,28.96,
22-May-20,35.13,36.18,36.23,33.54,174.59,
21-May-20,36.06,35.82,36.98,35.75,178.55,
20-May-20,35.75,34.45,36.46,34.38,191.27,
19-May-20,34.65,35.66,35.76,34.2,188.93,
18-May-20,34.81,32.78,35.72,32.69,232.25,
15-May-20,32.5,31.52,32.91,30.94,211.28,
14-May-20,31.13,29.52,31.55,28.88,222.21,
13-May-20,29.19,29.35,30.55,28.86,221.11,
12-May-20,29.98,30.07,30.7,29.35,202.47,
11-May-20,29.63,30.7,31.47,29.35,242.21,
8-May-20,30.97,29.6,31.14,29.43,147.3,
7-May-20,29.46,29.64,31.84,29.08,259.89,
6-May-20,29.72,32.27,32.27,28.66,268.46,
5-May-20,30.97,28.1,32.06,27.77,267.14,
4-May-20,27.2,26.1,28.08,25.5,215.73,
1-May-20,26.44,26.95,27.88,25.76,216.98,
30-Apr-20,25.27,22.87,25.76,22.87,9.69,
29-Apr-20,22.54,20.66,23.88,20.53,86.55,
28-Apr-20,20.46,19.9,21.29,18.73,123.22,
27-Apr-20,19.99,21.55,21.91,19.11,162.39,
24-Apr-20,21.44,21.93,22.7,20.5,187,
23-Apr-20,21.33,20.89,23.22,20.07,256.3,
22-Apr-20,20.37,20.23,22.45,15.98,344.76,
21-Apr-20,19.33,26.33,26.5,17.51,637.21,
20-Apr-20,25.57,28.05,28.25,25.37,361.83,
17-Apr-20,28.08,28.66,28.93,27.58,286.17,
16-Apr-20,27.82,28.05,29,27.2,272.98,
15-Apr-20,27.69,30.26,30.33,27.16,284.34,
14-Apr-20,29.6,32.25,32.32,29.38,297.55,
13-Apr-20,31.74,33.99,33.99,30.63,223.29,
9-Apr-20,31.48,33.82,36.4,31.18,493,
8-Apr-20,32.84,32.63,33.87,31.54,320.61,
7-Apr-20,31.87,33.66,34.18,31.74,303.42,
6-Apr-20,33.05,31.76,34.24,30.03,296.07,
3-Apr-20,34.11,29.89,35,28.25,541.28,
2-Apr-20,29.94,25.61,36.29,25.45,612.27,
1-Apr-20,24.74,25.99,26.28,24.52,347.29,
31-Mar-20,22.74,23,23.87,22.59,14.77,
30-Mar-20,22.76,23.85,24.44,21.65,62.08,
27-Mar-20,24.93,26.68,27,24.13,112.74,
26-Mar-20,26.34,27.35,27.75,26.03,139.18,
25-Mar-20,27.39,27.8,28.29,25.68,154.94,
24-Mar-20,27.15,27.72,28.65,26.69,198.91,
23-Mar-20,27.03,26.75,27.54,24.68,257.59,
20-Mar-20,26.98,28.1,30.94,26.81,313.84,
19-Mar-20,28.47,27.19,29.42,24.96,335.72,
18-Mar-20,24.88,28.4,29.21,24.52,348.4,
17-Mar-20,28.73,30.14,31.25,28.5,270.24,
16-Mar-20,30.05,35.82,35.84,29.45,330.12,
13-Mar-20,33.85,32.85,36.15,32.5,360.63,
12-Mar-20,33.22,35.99,36.46,32.5,472.74,
11-Mar-20,35.79,37.27,39.7,35.35,471.77,
10-Mar-20,37.22,35.84,38.22,35,551.29,
9-Mar-20,34.36,38.28,38.34,31.02,779.72,
6-Mar-20,45.27,50.25,50.45,45.18,636.39,
5-Mar-20,49.99,51.66,52.04,49.7,361.04,
4-Mar-20,51.13,52.11,53.03,51.04,363.5,
3-Mar-20,51.86,53.47,53.9,51.22,407.55,
2-Mar-20,51.9,48.95,53.2,48.4,417.56,
28-Feb-20,50.52,51.42,51.52,50.05,20.36,
27-Feb-20,52.18,53.18,53.25,50.97,112.16,
26-Feb-20,53.43,55.13,55.45,53.03,171.5,
25-Feb-20,54.95,56.46,56.98,54.62,210.28,
24-Feb-20,56.3,57.85,57.86,55.13,236.33,
21-Feb-20,58.5,59,59.25,57.73,236.49,
20-Feb-20,59.31,59.31,60,58.9,268.65,
19-Feb-20,59.12,57.6,59.4,57.51,262.15,
